Order ID,Order Date,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Year,Month,Month Name,Day Name
CA-2016-152156,2016-11-08,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Bookcases,261.96,2,0.0,41.9136,2016,11,November,Tuesday
CA-2016-152156,2016-11-08,Claire Gute,Consumer,United States,Henderson,Kentucky,South,Furniture,Chairs,731.94,3,0.0,219.582,2016,11,November,Tuesday
CA-2016-138688,2016-06-12,Darrin Van Huff,Corporate,United States,Los Angeles,California,West,Office Supplies,Labels,14.62,2,0.0,6.8714,2016,6,June,Sunday
US-2015-108966,2015-10-11,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Furniture,Tables,957.5775,5,0.45,-383.031,2015,10,October,Sunday
US-2015-108966,2015-10-11,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,South,Office Supplies,Storage,22.368,2,0.2,2.5164,2015,10,October,Sunday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Furnishings,48.86,7,0.0,14.1694,2014,6,June,Monday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Art,7.28,4,0.0,1.9656,2014,6,June,Monday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,907.152,6,0.2,90.7152,2014,6,June,Monday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Binders,18.504,3,0.2,5.7825,2014,6,June,Monday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Office Supplies,Appliances,114.9,5,0.0,34.47,2014,6,June,Monday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Furniture,Tables,1706.184,9,0.2,85.3092,2014,6,June,Monday
CA-2014-115812,2014-06-09,Brosina Hoffman,Consumer,United States,Los Angeles,California,West,Technology,Phones,911.424,4,0.2,68.3568,2014,6,June,Monday
